species,diet2,ash_ratio,source_ash
Paracirrhites_hemistictus,6_carn,0.7284671767530198,"This study, species-level estimate"
Zanclus_cornutus,3_imix,0.805268309674176,"This study, diet-level estimate"
Melichthys_niger,2_herb,0.5065069437905386,"This study, species-level estimate"
Melichthys_vidua,2_herb,0.6653408344669729,"This study, species-level estimate"
Sargocentron_tiere,6_carn,0.5585210523632455,"This study, species-level estimate"
Chaetodon_vagabundus,4_cor,0.7223432870447943,"This study, species-level estimate"
Naso_lituratus,2_herb,0.7325541155671564,"This study, diet-level estimate"
Chlorurus_spilurus,1_detr,0.9738647513073688,"This study, species-level estimate"
Balistapus_undulatus,3_imix,0.700781239228426,"This study, species-level estimate"
Aulostomus_chinensis,6_carn,0.6571060526191504,"This study, species-level estimate"
Epibulus_insidiator,6_carn,0.6072595507153805,"This study, species-level estimate"
Parupeneus_multifasciatus,6_carn,0.6771487680339967,"This study, species-level estimate"
Cephalopholis_urodeta,6_carn,0.6414561900515823,"This study, species-level estimate"
Halichoeres_hortulanus,3_imix,0.5936238201256465,"This study, species-level estimate"
Acanthurus_triostegus,2_herb,0.7325541155671564,"This study, diet-level estimate"
Cheilinus_chlorourus,6_carn,0.4678380767631076,"This study, species-level estimate"
Sufflamen_bursa,3_imix,0.7395958318930848,"This study, species-level estimate"
Stegastes_nigricans,2_herb,0.5849619816985817,"This study, species-level estimate"
Abudefduf_sexfasciatus,5_plank,0.7,Bailey & Robertson (1982)
Chaetodon_reticulatus,4_cor,0.3379186359585561,"This study, species-level estimate"
Odonus_niger,3_imix,0.805268309674176,"This study, diet-level estimate"
Neoniphon_sammara,6_carn,0.5020748727395626,"This study, species-level estimate"
Ctenochaetus_striatus,1_detr,0.942595796496376,"This study, species-level estimate"
Chaetodon_ornatissimus,4_cor,0.2988576799984012,"This study, species-level estimate"
Cephalopholis_argus,6_carn,0.6036159640275351,"This study, species-level estimate"
Zebrasoma_scopas,2_herb,0.8278709530239171,"This study, species-level estimate"
Acanthurus_nigricans,2_herb,0.7190284098027604,"This study, species-level estimate"
Epinephelus_merra,6_carn,0.49274031830557724,"This study, species-level estimate"
Myripristis_berndti,6_carn,0.6972229525760482,"This study, species-level estimate"
Chaetodon_auriga,4_cor,0.4626197346897652,"This study, species-level estimate"
Centropyge_flavissima,3_imix,0.805268309674176,"This study, diet-level estimate"
Dascyllus_flavicaudus,5_plank,0.7,Bailey & Robertson (1982)
Gnathodentex_aureolineatus,3_imix,0.666487212723352,"This study, species-level estimate"
Acanthurus_achilles,2_herb,0.7325541155671564,"This study, diet-level estimate"
Heniochus_chrysostomus,4_cor,0.372803154335744,"This study, diet-level estimate"
Chaetodon_lunulatus,4_cor,0.29073166415030416,"This study, species-level estimate"
Arothron_meleagris,4_cor,0.372803154335744,"This study, diet-level estimate"
Forcipiger_flavissimus,3_imix,0.805268309674176,"This study, diet-level estimate"
Acanthurus_pyroferus,2_herb,0.7325541155671564,"This study, diet-level estimate"
Rhinecanthus_aculeatus,3_imix,0.805268309674176,"This study, diet-level estimate"
Chaetodon_citrinellus,4_cor,0.372803154335744,"This study, diet-level estimate"
Dascyllus_trimaculatus,5_plank,0.7,Bailey & Robertson (1982)
Acanthurus_guttatus,2_herb,0.7325541155671564,"This study, diet-level estimate"
Chromis_xanthura,5_plank,0.7,Bailey & Robertson (1982)
Acanthurus_olivaceus,1_detr,0.9513446743165506,"This study, diet-level estimate"
Chaetodon_ephippium,4_cor,0.372803154335744,"This study, diet-level estimate"
Cantherhines_sandwichiensis,3_imix,0.7041256646862595,"This study, species-level estimate"
Abudefduf_septemfasciatus,5_plank,0.7,Bailey & Robertson (1982)
Calotomus_carolinus,2_herb,0.7325541155671564,"This study, diet-level estimate"
Scarus_schlegeli,2_herb,0.62,Crossman et al. (2005)
Acanthurus_lineatus,2_herb,0.86,Crossman et al. (2005)
