sample,sp
F189AE2,ACTR
FE006AE2,ACTR
FE005AE2,ACTR
F145AE2,ACTR
F399AE2,ACTR
F450AE2,ACTR
F449AE2,ACTR
F416AE2,ACTR
FE029AE2,CEAR
F267AE2,CEAR
F345AE2,CEAR
F023AE2,CEAR
F020AE2,CEAR
FE027AE2,CHOR
FE034AE2,CHOR
FE116AE2,CHOR
FE132AE2,CHOR
FE134AE2,CHOR
F044AE2,CHOR
F278AE2,CHOR
F254AE2,CHOR
F007AE2,CHOR
F191AE2,CHVA
F395AE2,CHVA
F421AE2,CHVA
FE077AE2,CHVA
FE067AE2,CHVA
FE129AE2,EPIN
F442AE2,CHVA
FE082AE2,CTST
FE068AE2,CTST
F030AE2,CTST
F001AE2,CTST
F032AE2,CTST
F273AE2,CTST
F250AE2,CTST
F283AE2,CTST
F266AE2,EPIN
F307AE2,EPIN
FE054AE2,EPIN
FE115AE2,EPIN
FE268AE,EPIN
F196AE2,EPIN
F325AE2,EPIN
FE029AE2,MEVI
FE037AE2,MEVI
FE065AE2,MEVI
F006AE2,MEVI
F055AE2,MEVI
F025AE2,MEVI
FE047AE2,NALI
FE089AE2,NALI
FE093AE2,NALI
F123AE2,NALI
F251AE2,NALI
F158AE2,NALI
F299AE2,NALI
FE020AE2,ZESC
FE026AE2,ZESC
FE053AE2,ZESC
FE038AE2,ZESC
FE136AE2,ZESC
FE111AE2,ZESC
FE079AE2,ZESC
F004AE2,ZESC
FE138AE2,ZESC
F200AE2,STNI
F448AE2,STNI
F452AE2,STNI
F388AE2,STNI
F256AE2,CHOR
F256AE2,CHOR
F256AE2,CHOR
BLANK,BLANK
BLANK,BLANK
FE028AE2,CEAR
FE125AE2,DAFL
