reef_zone,diet2,Ip,Fp,Sp,Wp,pflux_cop,Ip_tot,Ip_r,Wp_r,Fp_r,pcop_r
backreef,1_detr,0.023059313753901675,8.445852962797988e-4,0.011836952009826441,0.019935387195877206,0,0.05220478482734556,0.4417088171163748,0.38186896587752595,0.016178311989467176,0
backreef,2_herb,0.021178185891437017,0.0021839741493967684,0.016463834038406577,0.016546271034540202,0.0013281067796942954,0.05220478482734556,0.4056751878487507,0.2915089930008567,0.04183475052372544,0.025440326669033897
backreef,3_imix,0.0025728423994481483,4.3685592904250877e-4,0.001899830101360186,0.001531795208754023,0,0.05220478482734556,0.04928365106679761,0.029342046209366777,0.008368120479517384,0
backreef,4_cor,0.0012391287030518766,2.769938001474191e-4,6.718104904749709e-4,5.547599925725746e-4,1.7933156108577712e-4,0.05220478482734556,0.023735922045268247,0.007191456352677908,0.005305908281463236,0.0034351556409795004
backreef,5_plank,0.00236357249018639,1.1109259984316116e-4,0.001152848181410697,0.0021272152411853113,7.292893682053418e-4,0.05220478482734556,0.04527501641857778,0.026777734600444466,0.0021280156639007807,0.013969780176611903
backreef,6_carn,0.001791741589320452,3.065328006394271e-4,0.0014012936970972355,9.838897045892042e-4,9.985602370584924e-5,0.05220478482734556,0.03432140550423098,0.016933958904477398,0.00587173765112161,0.0019127753142953927
forereef,1_detr,0.01732525367037859,0.001178794505382686,0.007949383649292513,0.015428636629585142,0,0.050128054494057515,0.34561990975397683,0.3077844689028206,0.023515664377567802,0
forereef,2_herb,0.02366187948597305,6.817953324148101e-4,0.02199271202014633,0.020245906734337658,0,0.050128054494057515,0.472028681838791,0.40388375209609884,0.01360107307766421,0
forereef,3_imix,0.005127562621668344,0.001095691576186403,0.0029911677637769266,0.0029180013935506946,1.4188305078467072e-4,0.050128054494057515,0.10228928039240374,0.05538053233434627,0.021857851601168623,0.0028304120759661718
forereef,4_cor,0.0011419587234566995,2.569954023553565e-4,7.354889404912383e-4,5.502585669022108e-4,1.7026954898819555e-4,0.050128054494057515,0.02278083071410789,0.007580366358703616,0.005126777908083831,0.003396691746901535
forereef,5_plank,0.0014857302080499124,2.7592033604372946e-5,0.001122578126778231,0.0013371571871853634,4.584277610244397e-4,0.050128054494057515,0.02963869679454725,0.017529693402824835,5.504309689027304e-4,0.009145133711079582
forereef,6_carn,0.0013856697845309187,4.929293050007046e-4,7.947287793068342e-4,4.7598063255531047e-4,2.091641439927854e-4,0.050128054494057515,0.027642600506173332,0.005322697863611585,0.009833401873977365,0.00417259648521929
lagoon,1_detr,0.022553557170035564,0.0013236605701258761,0.008602910563345733,0.020097996510697255,0,0.05782087612178856,0.3900590700585517,0.34759066030692254,0.022892433648667648,0
lagoon,2_herb,0.023651512193946195,0.00281077584435419,0.01457140044393166,0.017569762378075546,0.0011774854972457407,0.05782087612178856,0.40904797333282933,0.2835010117505419,0.048611782333319045,0.02036436623280481
lagoon,3_imix,0.0018689596763977656,4.577427055966106e-4,0.001282959614945982,0.0010161501463442108,0,0.05782087612178856,0.032323268026260295,0.01757410496866021,0.007916564678689123,0
lagoon,4_cor,9.737812747210901e-4,1.8110187756867832e-4,2.9883707479703487e-4,4.136689076493015e-4,1.4309059658030782e-4,0.05782087612178856,0.01684134416555721,0.004679595488990386,0.0031321192226008827,0.002474722041203855
lagoon,5_plank,0.007734075215178259,6.146621617428463e-4,0.004081222346237184,0.006960667693868361,0.002386378607328889,0.05782087612178856,0.13375921871000218,0.07911137625975453,0.010630453963516199,0.04127192058284349
lagoon,6_carn,0.0010389905915096816,1.5430411490340343e-4,8.552034615288443e-4,6.83314680009958e-4,6.070793695508325e-5,0.05782087612178856,0.017969125706799177,0.010767853841292087,0.0026686575031895313,0.0010499311153157494
