reef_zone,diet2,site_name,year,Ip,Fp,Sp,Wp,Wn,Fn,pflux_cop,Ip_tot,Ip_r,Wp_r,Fp_r,pcop_r,P_ratio,N_ratio
backreef,1_detr,NA,2009.9820359281437,0.003990622426576752,1.2504557972358853e-4,0.003953207919867764,0.002954694266792501,0.042143609673146926,0.01796776627492568,0,0.015298956196698134,0.26587728370794267,0.1969674285256565,0.008210859666704215,0,7.606037145623952,1.4354214790695952
backreef,2_herb,NA,2009.9940476190477,0.0046276635219731415,3.2436020326251944e-4,0.004357449160567404,0.0028657461577898456,0.017260559214730676,0.01694812200600204,1.096706699015733e-4,0.01523490926918116,0.2712812063722721,0.16489984478105754,0.01829643997270028,0.0060725667024265064,7.583269387600706,1.4326809421856401
backreef,3_imix,NA,2009.9940476190477,0.003388634822931813,3.097175061158947e-4,0.0028203348886925083,0.00252608651405211,0.010656856325228494,0.011361110182841019,2.478317302359764e-4,0.01523490926918116,0.2229017358409612,0.14922597092692239,0.02161440338072491,0.010612089611502106,7.583269387600706,1.4326809421856401
backreef,4_cor,NA,2009.9397590361446,9.999179872337617e-4,2.5524115787585385e-4,7.093445534490558e-4,4.774267531802271e-4,0.0033426520072696343,0.0036145025875988766,1.567604733243252e-4,0.015373113915078956,0.07635774002083032,0.024651461443724015,0.01807874888446322,0.012026793871399506,7.6198543250857895,1.4342405938465452
backreef,5_plank,NA,2009.9627329192547,7.785012934085036e-4,1.684255603304766e-4,4.621351305390934e-4,4.4476157416443047e-4,0.003185911387176055,0.0035395543999260635,1.5297219408759956e-4,0.015299861529109303,0.06367742055221275,0.023828853595735118,0.012326079557404213,0.012503701168368212,7.578089298999974,1.4207352760777319
backreef,6_carn,NA,2009.9578313253012,0.001535949373015127,4.401154035920348e-4,8.543773266987734e-4,7.16304905273098e-4,0.002753470498020967,0.004402102520121605,2.510184890247783e-4,0.015367804745440588,0.10631511913606202,0.03261883264755205,0.029805822563338018,0.017464148962893215,7.579852169593281,1.4330715648058432
forereef,1_detr,NA,2010,0.014117356555343423,0.0019106426347263049,0.009977125107279088,0.009896663967711229,0.08948945994492043,0.03736978854339196,0,0.04921311842608203,0.2675842136223051,0.188421979673706,0.03243420985953614,0,5.170937529923792,1.2880723686109061
forereef,2_herb,NA,2010,0.014639965048550991,0.0013148881826468082,0.013848968440460883,0.009149166923622748,0.05911218738054848,0.06184583070148445,2.7968458565668284e-5,0.04921311842608203,0.30158880324752946,0.18628430121702907,0.026804711012643704,6.057091067400267e-4,5.170937529923792,1.2880723686109061
forereef,3_imix,NA,2010,0.012866350337782082,0.0011799148070561372,0.010989834415033317,0.00989227735509066,0.040566281647678566,0.03777884076501421,0.001900193464920871,0.04921311842608203,0.26773295195999985,0.1646772102274716,0.027498394957393826,0.036817394878327914,5.170937529923792,1.2880723686109061
forereef,4_cor,NA,2009.9839572192514,0.00101919033263118,3.0816438707962366e-4,6.611648945244448e-4,3.814159018005825e-4,0.0030385732919278245,0.004090623227654613,1.2219438837119363e-4,0.04896365179298945,0.024075540568327843,0.006192350535596293,0.006927205696749438,0.002888939098219931,5.1836226479586704,1.2856641209206259
forereef,5_plank,NA,2010,0.0012024460161014225,1.8309911039191343e-4,9.210305558884707e-4,6.605588170315984e-4,0.005261219094620968,0.004774020461179532,2.306952952041539e-4,0.04921311842608203,0.02501804761690033,0.008909769818732882,0.0037901565016225844,0.004792529179244346,5.170937529923792,1.2880723686109061
forereef,6_carn,NA,2010,0.005378595218557921,0.0018208642675817922,0.0026951924633464813,0.00248179896933632,0.008424515501102656,0.016253691194166187,0.0010091341881587627,0.04921311842608203,0.11425521060999905,0.03144020858934255,0.03747208667128,0.021797008050590205,5.170937529923792,1.2880723686109061
lagoon,1_detr,NA,2009.883870967742,0.003526219415455321,9.642918224361093e-5,0.0034940507973080658,0.0026070394362256825,0.03669508044361607,0.015592432153797828,0,0.018915740876927267,0.2086452331403503,0.15399839401670617,0.005577731197047361,0,10.078085181740013,1.4209569761124206
lagoon,2_herb,NA,2009.9939024390244,0.006670487976586969,4.911378721939126e-4,0.006220797511231817,0.0044664248647734855,0.026757039350624248,0.024061573778908246,9.444081432115183e-5,0.018050412694093115,0.3363835999234368,0.22388688470366438,0.017979654344813294,0.0050643877999177935,10.041810919611809,1.4127978661425897
lagoon,3_imix,NA,2010.0179640718563,0.004229484491273706,2.821759516368784e-4,0.003732782885194439,0.0032853839349650635,0.01232148112864373,0.014173136577370897,3.988903822767111e-4,0.01773331624210595,0.23744397774075485,0.1622585238951702,0.0177353326182275,0.012157279264798653,12.387705387198944,1.4389730290685103
lagoon,4_cor,NA,2009.9119496855346,9.253469256558921e-4,1.8732849890336776e-4,7.196353021751317e-4,4.6144991170942e-4,0.0032588602169543782,0.0033504247673598426,1.5219666396722463e-4,0.018431016699186138,0.06337048515554927,0.02212483756849613,0.010460979032797793,0.010865106738082199,9.883319447939895,1.4080740502044566
lagoon,5_plank,NA,2009.8553459119496,0.0012181403187981386,2.945945216421036e-4,6.597153083561304e-4,6.879040544500829e-4,0.004727631791689159,0.0054360151192897645,2.3791402041266e-4,0.01777160552977799,0.09024655362811582,0.032784366409337753,0.021747910702741055,0.01751837163349418,9.930841664811618,1.4067124908765312
lagoon,6_carn,NA,2009.94375,0.0017112587060309757,3.9657085239738174e-4,0.0010941126523385755,7.927322141628626e-4,0.003177386426168153,0.0045978697387325925,2.759466803139073e-4,0.0183895071323447,0.0963426564155829,0.03051748289997617,0.02111022389132254,0.01517589268132543,9.754454967656205,1.4114325897347204
